Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
371,Niklas Hjalmarsson\hjalmni01,29,D,CHI,73,5,13,18,12,20,4.4,5,0,0,0,12,0,1,61,8.2,1569,21:30,181,23,0,0,
372,Shane Prince\princsh01,24,LW,NYI,50,5,13,18,-9,18,1.0,4,1,0,2,11,2,0,71,7.0,649,12:58,12,36,4,3,57.1
373,Alan Quine\quineal01,23,C,NYI,61,5,13,18,-2,8,1.1,3,2,0,1,12,1,0,82,6.1,764,12:31,29,77,264,286,48.0
374,Dennis Wideman\widemde01,33,D,CGY,57,5,13,18,-6,32,3.2,3,2,0,1,10,3,0,87,5.7,1153,20:14,74,61,0,0,
375,Derek Forbort\forbode01,24,D,LAK,82,2,16,18,8,54,5.6,2,0,0,0,15,0,1,100,2.0,1650,20:07,159,180,1,0,100.0
376,Andrew MacDonald\macdoan01,30,D,PHI,73,2,16,18,-5,26,3.7,2,0,0,0,15,0,1,65,3.1,1468,20:06,151,39,0,0,
377,David Schlemko\schleda01,29,D,SJS,62,2,16,18,4,14,3.7,1,1,0,1,14,2,0,118,1.7,1038,16:45,112,35,0,0,
378,Andrew Copp\coppan01,22,C,WPG,64,9,8,17,8,18,1.7,8,0,1,1,8,0,0,77,11.7,790,12:21,28,87,95,97,49.5
379,Jamie McGinn\mcginja01,28,LW,ARI,72,9,8,17,-23,23,0.4,9,0,0,2,6,2,0,116,7.8,948,13:10,18,116,1,2,33.3
380,Darren Helm\helmda01,30,C,DET,50,8,9,17,-6,20,1.4,6,2,0,1,6,2,1,98,8.2,768,15:22,18,71,216,204,51.4
381,Torrey Mitchell\mitchto01,32,C,MTL,78,8,9,17,5,38,1.3,8,0,0,1,9,0,0,68,11.8,983,12:36,56,47,410,342,54.5
382,Miles Wood\woodmi01,21,LW,NJD,60,8,9,17,-21,86,0.9,6,2,0,0,7,2,0,105,7.6,771,12:51,26,68,1,1,50.0
383,Michael Matheson\mathemi01,22,D,FLA,81,7,10,17,-5,36,4.4,7,0,0,0,8,1,1,179,3.9,1705,21:03,118,69,1,0,100.0
384,Riley Nash\nashri02,27,C,BOS,81,7,10,17,-1,14,1.0,6,0,1,2,8,0,2,125,5.6,1118,13:48,36,67,276,286,49.1
385,Joonas Donskoi\donskjo01,24,RW,SJS,61,6,11,17,-5,10,1.0,5,1,0,0,8,3,0,95,6.3,842,13:49,27,27,8,8,50.0
386,Nick Shore\shoreni01,24,C,LAK,70,6,11,17,-2,20,1.3,5,0,1,1,11,0,0,79,7.6,895,12:47,22,58,362,359,50.2
387,Brian Campbell\campbbr02,37,D,CHI,80,5,12,17,12,24,4.3,3,2,0,1,9,3,0,74,6.8,1474,18:26,83,43,0,0,
388,Marcus Kruger\krugema01,26,C,CHI,70,5,12,17,7,34,0.9,5,0,0,0,12,0,0,83,6.0,981,14:01,62,31,357,370,49.1
389,Josh Manson\mansojo01,25,D,ANA,82,5,12,17,14,82,5.3,4,0,1,1,11,0,1,88,5.7,1527,18:38,79,227,0,0,
390,Austin Watson\watsoau01,25,LW,NSH,77,5,12,17,14,99,1.4,5,0,0,0,11,0,1,90,5.6,957,12:26,66,143,17,25,40.5
391,Chris Wideman\widemch01,27,D,OTT,76,5,12,17,7,46,4.2,4,1,0,1,8,4,0,123,4.1,1061,13:58,68,68,0,0,
392,Jordie Benn\bennjo01,29,D,TOT,71,4,13,17,-4,28,2.8,4,0,0,1,10,2,1,68,5.9,1298,18:17,144,64,0,0,
393,Ron Hainsey\hainsro01,35,D,TOT,72,4,13,17,-8,21,3.2,3,0,1,1,11,0,2,71,5.6,1586,22:02,120,93,0,0,
394,Nikita Nesterov\nesteni01,23,D,TOT,48,4,13,17,0,24,3.1,3,1,0,0,12,1,0,63,6.3,782,16:17,21,84,0,0,
