Shot #,Player,TEAM,Opponent,Date,Art x,Art y,Outcome,Assist,Type,Play,State,Angle,Distance,x,y
116,Accam,CHI,NYCFC,42435,6.6,31,0,right,cross,open,-2,25.24052926,8.786353055,6.6,19
117,Accam,CHI,NYCFC,42435,10,16,0,pass,right,open,-2,16.61715173,13.5882302,10,34
118,Giovinco,TOR,NYRB,42435,47.2,30.7,0,self,right,open,0,6.215678192,47.51936447,47.2,19.3
119,Johnson,TOR,NYRB,42435,25.7,28.2,0,pass,right,open,0,11.38011105,25.87450483,25.7,21.8
120,Endoh,TOR,NYRB,42435,10.7,12.7,0,pass,right,open,0,12.12345632,16.4541788,10.7,37.3
121,Giovinco,TOR,NYRB,42435,7.7,33.2,0,other,right,open,0,18.48516422,11.10360302,7.7,16.8
123,Delgado,TOR,NYRB,42435,7.8,18.1,1,pass,right,open,1,21.74504376,10.54751155,7.8,31.9
124,Igboananike,CHI,OCSC,42440,9.1,20.8,0,cross,header,open,-1,26.79696721,10.10791769,9.1,29.2
125,Accam,CHI,OCSC,42440,17,29.2,1,pass,right,open,-1,16.42470406,17.4642492,17,20.8
126,Accam,CHI,OCSC,42440,3.6,29.2,0,cross,header,open,0,38.14023999,5.381449619,3.6,20.8
127,Larin,OCSC,CHI,42440,12.3,30,1,self,right,open,0,20.67040568,13.20340865,12.3,20
128,Molino,OCSC,CHI,42440,18.4,29.2,0,pass,right,open,0,15.31281836,18.82976367,18.4,20.8
129,Winter,OCSC,CHI,42440,18.1,15.3,0,self,right,open,0,12.78003291,20.63055986,18.1,34.7
130,Larin,OCSC,CHI,42440,9.2,16.3,0,pass,right,open,0,17.30281306,12.80039062,9.2,33.7
131,Larin,OCSC,CHI,42440,11.8,31.3,0,pass,left,open,0,19.61565752,13.28344835,11.8,18.7
132,Figueroa,DAL,HOU,42441,19.1,34.5,0,other,left,open,-2,12.49199411,21.24382263,19.1,15.5
133,Hollingshead,DAL,HOU,42441,7.8,22.9,0,cross,header,set-piece,-4,34.73944612,8.132035416,7.8,27.1
134,Acosta,DAL,HOU,42441,6.7,20.7,0,other,right,open,-4,31.60524379,8.07093551,6.7,29.3
135,Diaz,DAL,HOU,42441,20.9,19.8,0,pass,right,open,-4,13.3745898,21.58633827,20.9,30.2
136,Barrios,DAL,HOU,42441,14.9,19.9,0,other,left,open,-4,17.80428167,15.81455026,14.9,30.1
137,Urruti,DAL,HOU,42441,20.9,22.5,0,other,right,open,5,13.9874122,21.07368027,20.9,27.5
138,Horst,HOU,DAL,42441,5.5,27.5,1,cross,header,open,0,43.88054719,5.961543424,5.5,22.5
139,Clark,HOU,DAL,42441,10.7,32.4,1,pass,left,open,2,18.90228449,12.89689885,10.7,17.6
140,Wenger,HOU,DAL,42441,6,20.3,1,self,right,open,3,31.29255954,7.746612163,6,29.7
141,Wenger,HOU,DAL,42441,17.7,17.3,0,self,left,open,4,14.12244568,19.38298223,17.7,32.7
142,Bruin,HOU,DAL,42441,5.6,20.1,0,pass,right,open,4,30.92387267,7.574298647,5.6,29.9
143,Bruin,HOU,DAL,42441,0.7,21.1,1,other,right,open,4,22.15413011,4.159326869,0.7,28.9
144,Manneh,VAN,SKC,42441,13.3,25.9,0,pass,right,open,-1,22.02758649,13.31840831,13.3,24.1
145,Manneh,VAN,SKC,42441,22.2,39.8,0,pass,right,open,-1,9.297797809,26.57066051,22.2,10.2
